226218,Shaka iLembe,zu,1,10.0,2023-06-18,2023-08-20,true,15.813,[Drama]
230386,Rosemary's Hitlist,zu,1,7.0,2023-06-14,2023-07-05,false,914.0,[Documentary,  Crime]
209390,The Brave Ones,zu,16,6.2,2022-09-16,2022-09-16,false,4.799,[Drama,  Sci-Fi & Fantasy]
106648,Tjovitjo,zu,1,2.0,2020-08-20,2020-11-12,true,1.576,[Drama]
