43700,Jón Gnarr: Once I Was A Nerd,is,1,10.0,,,false,0.6,[]
32064,The Prison Shift,is,1,10.0,2009-09-27,2009-11-08,false,1.4,[Drama,  Comedy]
225177,Afturelding,is,1,10.0,2023-04-09,2023-05-28,true,1.879,[Comedy,  Drama]
236661,IceGuys,is,1,10.0,2023-10-06,2023-10-06,true,3.842,[Comedy]
69772,World's End,is,1,9.0,2011-10-02,2011-11-27,true,1.461,[Comedy,  Drama]
194715,Domestic Violence,is,1,9.0,2022-02-21,2022-03-21,true,1.244,[Documentary,  Talk,  Reality]
7198,The Night Shift,is,1,8.0,2007-09-16,2007-12-09,false,698.0,[Comedy]
64915,Season of the Witch,is,1,8.0,2011-03-27,2011-04-17,false,1.53,[Crime]
113554,The Minister,is,5,7.8,2020-09-20,2020-11-08,true,2.255,[Drama]
77192,Stella Blómkvist,is,14,7.5,2017-11-24,2021-09-30,true,4.895,[Drama,  Crime]
53152,I Hunt Men,is,2,7.5,2008-03-26,2008-04-16,false,1.4,[Crime]
64852,Trapped,is,199,7.44,2015-12-27,2021-12-05,false,19.684,[Drama,  Mystery,  Crime]
69871,Case,is,16,7.063,2015-10-18,2015-12-13,false,3.657,[Drama,  Crime]
104157,Katla,is,290,7.031,2021-06-17,2021-06-17,false,19.593,[Drama,  Mystery,  Sci-Fi & Fantasy]
136787,Blackport,is,6,7.0,2021-12-26,2022-02-13,false,11.427,[Drama]
103037,Jarðarförin mín,is,1,7.0,2020-04-08,2020-05-14,false,1.504,[Comedy,  Drama]
90347,The Flatey Enigma,is,7,6.7,2018-11-18,2018-12-09,false,1.165,[Drama,  Crime,  Mystery]
97405,The Valhalla Murders,is,95,6.689,2019-12-26,2020-02-09,false,15.931,[Drama,  Crime]
201230,Fractures,is,1,6.0,2022-04-17,2022-06-05,true,3.518,[Drama]
65656,The Lava Field,is,16,5.875,2014-09-27,2014-09-30,false,3.868,[Drama,  Crime,  Mystery]
68954,The Cliff,is,8,5.8,2009-10-04,2009-10-25,false,1.209,[Crime,  Drama]
86439,Mannasiðir,is,3,5.7,2018-12-18,2018-12-19,true,0.6,[]
222155,Entrapped,is,7,5.4,2022-09-08,2022-10-13,true,1.281,[Drama,  Mystery,  Crime]
127563,Sisterhood,is,1,5.0,2021-03-31,2021-03-31,true,2.902,[Crime,  Drama]
71129,Prisoners,is,2,4.5,2017-01-01,2017-02-05,false,2.36,[Drama,  Mystery]
133485,Black Sands,is,3,4.3,2021-12-25,2022-02-06,false,2.531,[Crime,  Drama]
